category,question,answer
등록,대학원 수료생(당 학기 논문제출 예정자)의 경우 등록금 및 생활비 대출이 가능한가요?,"대학원 수료생의 경우 일부 금액이 등록금 개념으로 고지된다 하더라도 이 비용은 학점 취득을 위한 수업료의 개념이 아니라 단순 졸업을 위한 논문지도비 등의 비용이기 때문에 재학의 의미로 볼 수 없어 학자금대출 지원이 불가능합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,비학위과정의 대학원생은 등록금 및 생활비 대출이 가능한가요?,"학점 인정을 떠나 비학위과정의 재학생은 대출자격요건에 충족되지 않습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,"4년제 대학의 9학기, 2년제의 5학기 등과 같은 학기초과자 학생도 학자금 대출을 받을 수 있나요?","원칙적으로 취업을 위한 의도적 졸업유예의 경우 학자금 대출이 불가합니다. 다만 졸업유예가 아닌 학교에서 인정하는 정규학기일 경우 학사정보 및 수납원장을 해당 졸업학년으로 업로드 해 주시면 학자금 대출이 가능합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학생 평점이 백분위 환산점수로 79.7점입니다. 든든학자금 대출이 가능한가요?,"든든학자금 대출의 성적 기준은 80점 이상입니다. 성적은 반올림 처리가 되지 않으므로 소수점 이하는 절사하여 79점으로 학사정보를 업로드 하시기 바랍니다. (해당경우 든든학자금 대출 불가)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,"재입학생이나 편입생은 재학생군인가요, 신입생 군인가요?","재입학생과 편입생 모두 신입생군에 속합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,고지서출력은 어디에서 할 수 있나요?,"<고지서출력방법>
학사포탈서비스(http://portal.yonsei.ac.kr) 접속 → 주요학사관리 → 학부/대학원 등록금 납부 → 로그인 → 등록 → 조회/등록 → 고지서 출력

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,고지서 출력이 왜 안 되나요?,"고지서 출력기간인지 먼저 확인하여야 합니다. 또한, 등록금 납부 후에는 고지서 출력은 불가하고 등록금 납부 확인서만 출력할 수 있습니다. 학기초과자의 경우 수강신청 변경기간이 완료된 이후 추가등록기간에 고지서 출력이 가능합니다. 복학신청자일 경우 1, 2차 복학신청자는 본등록기간과 추가등록기간 모두 납부 가능하여 고지서 출력이 바로 되지만, 3차 복학신청자는 추가등록기간에 고지서 출력 및 등록이 가능합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,고지서 출력기간 이전에 미리 고지서를 출력하고 싶어요.,"고지서 출력기간 이전에 고지서 출력은 불가합니다. 단, 근로복지공단에서 근로자 대여를 받기 위해서 등록금 고지서가 필요할 경우에는 등록금고지서를 대신해서 재학증명서와 등록금명세표(www.yonsei.ac.kr 접속 → 메뉴상단 ‘대학생활’ → 신촌 : 학사안내 → ‘등록금’ → 각 소속별 등록금 명세표)로 대신할 수 있습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,복학신청자인데 고지서출력이 안됩니다.,"1차 복학신청자의 경우 아직 출력기간 전일 수 있습니다. 고지서는 본등록기간 전주부터 출력이 가능합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,고지서를 출력했는데 금액이 이상하게 나와요.,"분할납부신청을 했는지 확인해봅니다. 분할납부신청시 고지서에는 분할납부 회차에 따른 금액이 청구됩니다. 분할납부를 하지 않았는데도 금액에 이상이 있을 경우 재무·회계팀으로 연락 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
